Date,Oil,Gold,Bonds,Oil_Returns,Gold_Returns
2020-01-01,60.29876989369723,1465.5641264561377,100.61963450658882,,
2020-01-02,60.215455830964835,1438.9041751734774,102.11231833684673,-0.0013826430117117824,-0.018358403176645496
2020-01-03,60.606730188299146,1464.9863030584688,102.30347950350631,0.006476885381007028,0.017964058551596523
2020-01-04,61.53685383510561,1465.2297366842695,103.14493891802896,0.015230298564080171,0.00016615404670434412
2020-01-05,61.3929317800843,1448.825021522235,103.18904709494402,-0.0023415337472332542,-0.011259149070880556
2020-01-06,61.24935638495322,1458.7500432450358,102.5823793450718,-0.0023413695694919382,0.0068270363108929545
2020-01-07,62.224291962571556,1470.0706595027218,103.68150268923874,0.015792128155073956,0.007730533060459968
2020-01-08,62.70365985418256,1450.6092068796447,102.41353548288714,0.007674347291528958,-0.013326856451477478
2020-01-09,62.4099721657806,1442.9002594148453,102.37635872389323,-0.004694743859349602,-0.005328453764695867
2020-01-10,62.7495039870606,1455.599168837169,101.79593360643437,0.005425600435859569,0.008762458637057267
2020-01-11,62.45938443530642,1443.756732212662,102.65677056523283,-0.004634176928124356,-0.008169057463704874
2020-01-12,62.16916883287405,1447.8362429281062,101.68952437748035,-0.004657297535702759,0.002821637386138243
2020-01-13,62.31977689986699,1468.612852503212,101.27463314172604,0.002419622715660239,0.014248121863662758
2020-01-14,61.13875903778408,1433.8934965284182,101.31911614612696,-0.019132802446577887,-0.02392484831541116
2020-01-15,60.093209043487995,1429.0086984565173,102.83773238530254,-0.017249178325130336,-0.003412483193287671
2020-01-16,59.75626062036407,1432.7523949275906,102.29156020905208,-0.005622875292409684,0.0026163599856748555
2020-01-17,59.15408527382888,1407.305456293507,101.8823023401473,-0.010128311203344235,-0.017920493859434176
2020-01-18,59.340267792507554,1399.871908135386,100.51794125108479,0.0031424733259527685,-0.005296113902524588
2020-01-19,58.803882812293,1414.570179227947,99.53469569551044,-0.009080240755212014,0.010444986441418154
2020-01-20,57.979230404111924,1404.6421505119083,99.94660529766001,-0.014123037013352987,-0.007043151487438831
2020-01-21,58.83526015170993,1383.9466501063432,99.97866182372397,0.014656487689215694,-0.014843264358857695
2020-01-22,58.70257392135278,1399.6855819446105,100.02676627654006,-0.0022577630048653224,0.011308318231622799
2020-01-23,58.742228102999064,1405.9210561879652,101.78369886365022,0.0006752820468791386,0.004445016935304445
2020-01-24,57.911233123485516,1404.9533242975722,100.09574552017055,-0.014247481862134448,-0.0006885629150462464
2020-01-25,57.59683092687242,1403.5716448930527,102.4428825203746,-0.005443827245251885,-0.0009839182710801937
